,date,name,budget,domesticgross,worldwidegross,Total,Result
60,3/17/2017,Beauty and the Beast,"$160,000,000","$504,014,165","$1,262,967,006",1766981171.0,Profit
61,11/20/2015,The Hunger Games: Mockingjay - Part 2,"$160,000,000","$281,723,902","$650,523,427",932247329.0,Profit
62,5/24/2013,Fast and Furious 6,"$160,000,000","$238,679,850","$789,300,444",1027980294.0,Profit
63,5/16/2014,Godzilla,"$160,000,000","$200,676,069","$529,076,069",729752138.0,Profit
64,6/10/2016,Warcraft,"$160,000,000","$47,225,655","$433,125,655",480351310.0,Profit
65,9/30/2016,Deepwater Horizon,"$156,000,000","$61,433,527","$122,931,214",184364741.0,Profit
66,7/1/2015,Terminator: Genisys,"$155,000,000","$89,760,956","$440,160,956",529921912.0,Profit
67,3/23/2018,Pacific Rim: Uprising,"$155,000,000","$59,185,715","$289,260,123",348445838.0,Profit
68,7/14/2017,War for the Planet of the Apes,"$152,000,000","$146,880,162","$490,280,162",637160324.0,Profit
69,6/2/2017,Wonder Woman,"$150,000,000","$412,563,408","$817,012,815",1229576223.0,Profit
70,11/22/2013,Frozen,"$150,000,000","$400,738,009","$1,274,234,980",1674972989.0,Profit
71,3/4/2016,Zootopia,"$150,000,000","$341,268,248","$1,019,888,414",1361156662.0,Profit
72,11/23/2016,Moana,"$150,000,000","$248,757,044","$639,480,406",888237450.0,Profit
73,11/8/2013,Thor: The Dark World,"$150,000,000","$206,362,140","$644,602,516",850964656.0,Profit
74,7/31/2015,Mission: ImpossibleâRogue Nation,"$150,000,000","$195,042,377","$700,868,363",895910740.0,Profit
75,7/21/2017,Dunkirk,"$150,000,000","$190,068,280","$500,516,189",690584469.0,Profit
76,5/15/2015,Mad Max: Fury Road,"$150,000,000","$153,636,354","$370,742,166",524378520.0,Profit
77,3/29/2018,Ready Player One,"$150,000,000","$136,200,793","$580,500,793",716701586.0,Profit
78,6/28/2013,White House Down,"$150,000,000","$73,103,784","$205,440,387",278544171.0,Profit
79,2/17/2017,The Great Wall,"$150,000,000","$45,157,105","$334,550,106",379707211.0,Profit
80,10/9/2015,Pan,"$150,000,000","$35,088,320","$151,550,856",186639176.0,Profit
81,6/13/2014,How to Train Your Dragon 2,"$145,000,000","$177,002,924","$614,586,270",791589194.0,Profit
82,3/7/2014,Mr. Peabody & Sherman,"$145,000,000","$111,506,430","$269,806,430",381312860.0,Profit
83,7/15/2016,Ghostbusters,"$144,000,000","$128,350,574","$229,034,050",357384624.0,Profit
84,1/29/2016,Kung Fu Panda 3,"$140,000,000","$143,528,619","$518,614,383",662143002.0,Profit
85,3/27/2013,G.I. Joe: Retaliation,"$140,000,000","$122,523,060","$375,740,705",498263765.0,Profit
86,12/12/2014,Exodus: Gods and Kings,"$140,000,000","$65,014,513","$268,314,513",333329026.0,Profit
87,7/1/2016,The BFG,"$140,000,000","$55,483,770","$199,905,224",255388994.0,Profit
88,2/26/2016,Gods of Egypt,"$140,000,000","$31,153,464","$133,553,464",164706928.0,Profit
89,3/22/2013,The Croods,"$135,000,000","$187,168,425","$573,068,425",760236850.0,Profit
90,12/25/2015,The Revenant,"$135,000,000","$183,637,894","$532,950,503",716588397.0,Profit
91,7/17/2013,Turbo,"$135,000,000","$83,028,130","$286,896,578",369924708.0,Profit
92,6/3/2016,Teenage Mutant Ninja Turtles: Out of the Shadows,"$135,000,000","$82,051,601","$245,623,848",327675449.0,Profit
