,budget,date,domesticgross,name,worldwidegross
74,"$32,000,000",06/12/2013,"$101,470,202",This is the End,"$126,539,117"
75,"$32,000,000",3/15/2013,"$22,537,881",The Incredible Burt Wonderstone,"$27,392,609"
76,"$30,000,000",8/16/2013,"$116,632,095",Lee Daniels' The Butler,"$177,025,498"
77,"$30,000,000",02/01/2013,"$66,380,662",Warm Bodies,"$115,121,608"
78,"$30,000,000",9/13/2013,"$36,918,811",The Family,"$51,078,541"
79,"$30,000,000",10/18/2013,"$35,266,619",Carrie,"$82,409,520"
80,"$30,000,000",02/08/2013,"$32,172,757",Side Effects,"$66,742,138"
81,"$30,000,000",10/04/2013,"$19,316,646",Runner Runner,"$60,512,680"
82,"$30,000,000",1/18/2013,"$12,050,299",The Last Stand,"$48,330,757"
83,"$30,000,000",03/08/2013,"$10,895,295",Dead Man Down,"$19,599,974"
84,"$30,000,000",12/31/2013,$0,Space Pirate Captain Harlock,"$143,490"
85,"$28,000,000",2/14/2013,"$71,399,120",Safe Haven,"$94,050,951"
86,"$28,000,000",1/28/2013,"$63,914,167",Last Vegas,"$112,914,167"
87,"$28,000,000",8/16/2013,"$28,795,985",Kick-Ass 2,"$63,129,909"
88,"$26,000,000",4/26/2013,"$49,875,291",Pain & Gain,"$81,275,291"
89,"$26,000,000",10/18/2013,"$3,254,172",The Fifth Estate,"$6,154,172"
90,"$25,000,000",12/13/2013,"$52,543,354",Tyler Perry's A Madea Christmas,"$52,543,354"
91,"$25,000,000",12/25/2013,"$37,738,810",August: Osage County,"$50,738,810"
92,"$25,000,000",10/25/2013,"$16,973,715",The Counselor,"$71,009,334"
93,"$25,000,000",3/22/2013,"$720,828",On the Road,"$9,313,302"
94,"$23,000,000",6/28/2013,"$36,686",Redemption,"$13,593,473"
95,"$22,000,000",11/22/2013,"$30,659,817",Delivery Man,"$70,536,870"
96,"$22,000,000",11/27/2013,"$20,158,492",Homefront,"$51,695,362"
97,"$22,000,000",12/04/2013,"$11,330,849",Out of the Furnace,"$15,434,375"
98,"$22,000,000",12/31/2013,$0,Metegol,"$30,051,905"
99,"$20,000,000",7/19/2013,"$137,400,141",The Conjuring,"$318,000,141"
100,"$20,000,000",10/18/2013,"$56,671,993",12 Years a Slave,"$181,025,343"
101,"$20,000,000",01/04/2013,"$34,341,945",Texas Chainsaw 3D,"$47,666,013"
102,"$20,000,000",04/12/2013,"$32,015,787",Scary Movie V,"$78,613,981"
103,"$20,000,000",8/23/2013,"$26,004,851",The World's End,"$47,508,505"
104,"$20,000,000",9/20/2013,"$8,888,355",Battle of the Year,"$16,723,377"
105,"$20,000,000",10/11/2013,"$8,008,161",Machete Kills,"$18,273,009"
106,"$19,200,000",8/23/2013,$0,The Frozen Ground,"$5,617,460"
107,"$19,000,000",11/08/2013,"$21,488,481",The Book Thief,"$76,086,711"
108,"$19,000,000",12/31/2013,$0,Out of Inferno,$0
109,"$18,000,000",7/26/2013,"$33,404,871",Blue Jasmine,"$102,912,961"
110,"$18,000,000",8/16/2013,"$16,131,410",Jobs,"$43,402,515"
111,"$18,000,000",8/30/2013,"$10,501,938",Getaway,"$11,813,989"
112,"$18,000,000",9/27/2013,"$3,419,967",Metallica Through the Never,"$9,082,906"
113,"$18,000,000",03/01/2013,"$1,034,589",Phantom,"$1,199,510"
114,"$17,500,000",11/27/2013,"$7,018,188",Black Nativity,"$7,285,135"
115,"$17,000,000",11/15/2013,"$70,525,195",The Best Man Holiday,"$72,835,710"
116,"$17,000,000",04/05/2013,"$54,239,856",Evil Dead,"$97,778,356"
117,"$16,000,000",04/05/2013,"$2,322,593",Trance,"$22,594,052"
118,"$16,000,000",12/31/2013,$0,Zulu,"$1,844,228"
119,"$15,000,000",10/25/2013,"$102,003,019",Jackass Presents: Bad Grandpa,"$160,903,019"
120,"$15,000,000",1/18/2013,"$71,628,180",Mama,"$148,095,566"
121,"$15,000,000",2/22/2013,"$42,930,462",Snitch,"$57,907,734"
122,"$15,000,000",3/29/2013,"$21,403,519",The Place Beyond the Pines,"$47,011,449"
123,"$15,000,000",05/10/2013,"$9,177,065",Peeples,"$9,307,166"
124,"$15,000,000",01/04/2013,"$7,597,898",Promised Land,"$12,394,562"
125,"$15,000,000",4/26/2013,"$528,731",The Reluctant Fundamentalist,"$528,731"
126,"$15,000,000",09/06/2013,"$61,847",Winnie Mandela,"$61,847"
127,"$15,000,000",12/06/2013,$0,Khumba,"$20,898,221"
128,"$13,000,000",03/01/2013,"$25,682,380",21 and Over,"$42,195,766"
129,"$13,000,000",3/22/2013,"$18,007,317",Admission,"$18,733,666"
130,"$12,800,000",3/15/2013,"$51,872,378",The Call,"$69,821,476"
131,"$12,500,000",03/01/2013,"$292,562",Ernest et Celestine,"$9,376,444"
132,"$12,000,000",11/22/2013,"$37,709,979",Philomena,"$98,963,392"
133,"$12,000,000",11/15/2013,"$17,654,912",Nebraska,"$24,761,360"
134,"$12,000,000",11/01/2013,"$15,323,921",About Time,"$89,309,178"
135,"$12,000,000",11/15/2013,"$2,883,879",La grande bellezza,"$29,549,145"
136,"$12,000,000",03/01/2013,"$1,703,125",Stoker,"$12,034,913"
137,"$12,000,000",10/19/2013,$0,Supesu Batorushippu Yamato,$0
138,"$11,000,000",01/11/2013,"$18,388,357",Quartet,"$56,178,935"
139,"$11,000,000",12/06/2013,"$13,248,209",Inside Llewyn Davis,"$32,943,247"
140,"$10,600,000",12/06/2013,"$24,084",The Last Days on Mars,"$261,364"
141,"$10,000,000",8/30/2013,"$28,873,374",One Direction: This is Us,"$68,541,786"
142,"$10,000,000",4/26/2013,"$21,590,086",Mud,"$31,556,959"
143,"$10,000,000",1/25/2013,"$8,840,453",Movie 43,"$31,164,747"
144,"$10,000,000",05/03/2013,"$1,930,282",The Iceman,"$3,623,609"
145,"$10,000,000",10/04/2013,"$641,439",Parkland,"$1,616,353"
146,"$10,000,000",05/03/2013,"$173,472","Cinco de Mayo, La Batalla","$173,472"
147,"$9,500,000",12/31/2013,$0,Re-Kill,$0
148,"$9,000,000",02/01/2013,$0,A Haunting in Connecticut 2: The Ghosts of Georgia,$0
149,"$8,500,000",9/27/2013,"$21,569,509",Baggage Claim,"$22,885,836"
150,"$8,500,000",10/18/2013,"$6,263,670",All is Lost,"$10,386,814"
151,"$8,300,000",5/31/2013,"$3,827,466",Yeh Jawaani Hai Deewani,"$50,827,466"
152,"$8,000,000",9/18/2013,"$17,550,872",Enough Said,"$25,621,449"
153,"$8,000,000",9/20/2013,$0,Feichang Xingyun,"$21,970,000"
154,"$7,000,000",11/15/2013,"$1,632,000",The Christmas Candle,"$1,933,829"
155,"$7,000,000",7/23/2013,$0,Twixt,"$1,268,346"
156,"$6,500,000",5/31/2013,"$2,274,649",The East,"$3,027,956"
157,"$5,500,000",9/27/2013,"$24,477,704",Don Jon,"$41,268,579"
158,"$5,400,000",2/26/2013,$0,Tao Jie,"$4,728,896"
159,"$5,300,000",7/19/2013,$0,Grabbers,"$440,821"
160,"$5,250,000",10/11/2013,"$2,450,504",La Vie d'AdÃ¨le â Chapitres 1 & 2,"$22,934,370"
161,"$5,000,000",9/13/2013,"$83,586,447",Insidious Chapter 2,"$161,921,515"
162,"$5,000,000",8/30/2013,"$44,467,206",No se Aceptan Devoluciones,"$100,486,616"
163,"$5,000,000",11/01/2013,"$27,298,285",Dallas Buyers Club,"$60,611,845"
164,"$5,000,000",07/05/2013,"$21,502,690",The Way Way Back,"$26,853,810"
165,"$5,000,000",3/15/2013,"$14,124,286",Spring Breakers,"$31,149,251"
166,"$5,000,000",8/16/2013,"$391,611",Ain't Them Bodies Saints,"$1,075,009"
167,"$4,800,000",7/19/2013,"$775,849",Only God Forgives,"$4,494,560"
168,"$4,500,000",03/01/2013,"$26,345",The Sweeney,"$8,000,366"
169,"$4,500,000",6/25/2013,$0,Hansel & Gretel Get Baked,$0
170,"$4,000,000",03/01/2013,"$15,179,303",The Last Exorcism Part II,"$25,448,707"
171,"$4,000,000",2/22/2013,"$4,327",Inescapable,"$4,327"
172,"$4,000,000",12/31/2013,$0,Geograf globus propil,"$4,454,853"
173,"$3,500,000",2/22/2013,"$17,418,667",Dark Skies,"$27,704,111"
174,"$3,500,000",1/29/2013,$0,"Batman: The Dark Knight Returns, Part 2",$0
175,"$3,450,000",5/17/2013,"$687,185",Jagten,"$18,309,793"
176,"$3,100,000",04/12/2013,$0,Antiviral,"$123,407"
177,"$3,000,000",06/07/2013,"$64,473,115",The Purge,"$91,266,581"
178,"$3,000,000",5/24/2013,"$8,110,621",Before Midnight,"$23,251,930"
179,"$3,000,000",5/17/2013,"$4,067,398",Frances Ha,"$11,262,769"
180,"$3,000,000",5/21/2013,$0,Open Road,"$47,469"
181,"$3,000,000",1/15/2013,$0,30 Nights Of Paranormal Activity With The Devil Inside The Girl With The Dragon Tattoo,$0
182,"$2,500,000",01/11/2013,"$40,041,683",A Haunted House,"$59,922,558"
183,"$2,500,000",07/03/2013,"$32,244,051",Kevin Hart: Let Me Explain,"$32,327,255"
184,"$2,500,000",08/02/2013,"$6,852,971",The Spectacular Now,"$6,916,951"
185,"$2,500,000",03/01/2013,"$549,632",The Lost Medallion: The Adventures of Billy Stone,"$549,632"
186,"$2,500,000",8/16/2013,"$35,017",Underdogs,"$35,017"
187,"$2,500,000",6/21/2013,$0,Alien Uprising,$0
188,"$2,000,000",9/13/2013,"$3,080",Plush,"$28,864"
189,"$2,000,000",04/01/2013,$0,Stitches,"$63,555"
190,"$2,000,000",3/19/2013,$0,Straight A's,$0
191,"$2,000,000",02/08/2013,$0,Small Apartments,$0
192,"$2,000,000",07/09/2013,$0,Coffee Town,$0
193,"$1,900,000",02/08/2013,"$222,098",ABCD (Any Body Can Dance),"$10,137,234"
194,"$1,900,000",7/26/2013,$0,Stranded,"$285,593"
195,"$1,800,000",12/31/2013,$0,Independence Daysaster,$0
196,"$1,750,000",12/31/2013,$0,Living Dark: The Story of Ted the Caver,$0
197,"$1,700,000",10/04/2013,"$2,507,159",Grace Unplugged,"$2,507,159"
198,"$1,500,000",7/26/2013,"$3,491,669",The To Do List,"$4,128,828"
199,"$1,500,000",02/01/2013,"$2,408,553",The Gatekeepers,"$2,592,308"
200,"$1,500,000",4/19/2013,"$1,165,881",The Lords of Salem,"$1,541,131"
201,"$1,400,000",04/05/2013,"$1,632",Eddie: The Sleepwalking Cannibal,"$1,632"
202,"$1,250,000",4/19/2013,"$2,850,357",Filly Brown,"$2,940,411"
203,"$1,200,000",4/19/2013,"$2,859,955",Home Run,"$2,859,955"
204,"$1,200,000",12/31/2013,$0,The Wicked Within,$0
205,"$1,100,000",12/31/2013,$0,The Vatican Exorcisms,$0
206,"$1,000,000",8/23/2013,"$18,494,006",You're Next,"$26,887,177"
207,"$1,000,000",6/14/2013,"$4,946,250",20 Feet From Stardom,"$5,892,466"
208,"$1,000,000",7/19/2013,"$486,919",The Act of Killing,"$501,289"
209,"$1,000,000",12/31/2013,$0,Heli,"$552,614"
210,"$1,000,000",5/14/2013,$0,Black Rock,$0
211,"$1,000,000",10/04/2013,$0,My Last Day Without You,$0
212,"$1,000,000",10/08/2013,$0,Zombie Hunter,$0
213,"$900,000",07/12/2013,"$16,098,998",Fruitvale Station,"$17,549,645"
214,"$900,000",04/05/2013,"$6,997",The Brass Teapot,"$413,733"
215,"$750,000",10/11/2013,$0,All the Boys Love Mandy Lane,"$1,960,521"
216,"$650,000",10/11/2013,"$171,962",Escape from Tomorrow,"$171,962"
217,"$625,000",12/31/2013,$0,Treachery,$0
218,"$500,000",8/23/2013,"$343,706",Drinking Buddies,"$407,100"
219,"$500,000",4/17/2013,"$152,449",Deceptive Practice: The Mysteries and Mentors of Ricky Jay,"$152,449"
220,"$500,000",6/28/2013,"$1,778",Detention of the Dead,"$1,778"
