,budget,date,domesticgross,name,worldwidegross
0,"$330,600,000",5/1/2015,"$459,005,868",Avengers: Age of Ultron,"$1,408,218,722"
1,"$306,000,000",12/18/2015,"$936,662,225",Star Wars Ep. VII: The Force Awakens,"$2,058,662,225"
2,"$300,000,000",11/6/2015,"$200,074,175",Spectre,"$879,620,923"
3,"$215,000,000",6/12/2015,"$652,270,625",Jurassic World,"$1,671,713,208"
4,"$190,000,000",4/3/2015,"$353,007,020",Furious 7,"$1,518,722,794"
5,"$187,500,000",11/25/2015,"$123,087,120",The Good Dinosaur,"$334,350,427"
6,"$179,000,000",2/6/2015,"$47,482,519",Jupiter Ascending,"$181,982,519"
7,"$175,000,000",6/19/2015,"$356,461,711",Inside Out,"$857,720,660"
8,"$170,000,000",5/22/2015,"$93,436,322",Tomorrowland,"$207,283,457"
9,"$160,000,000",11/20/2015,"$281,723,902",The Hunger Games: Mockingjay - Part 2,"$650,523,427"
10,"$155,000,000",7/1/2015,"$89,760,956",Terminator: Genisys,"$440,160,956"
11,"$150,000,000",7/31/2015,"$195,042,377",Mission: ImpossibleâRogue Nation,"$700,868,363"
12,"$150,000,000",5/15/2015,"$153,636,354",Mad Max: Fury Road,"$370,742,166"
13,"$150,000,000",10/9/2015,"$35,088,320",Pan,"$151,550,856"
14,"$135,000,000",12/25/2015,"$183,637,894",The Revenant,"$532,950,503"
15,"$130,000,000",7/17/2015,"$180,202,163",Ant-Man,"$519,338,048"
16,"$130,000,000",3/27/2015,"$177,397,510",Home,"$386,069,390"
17,"$120,000,000",8/7/2015,"$56,117,548",Fantastic Four,"$167,977,596"
18,"$110,000,000",5/29/2015,"$155,190,832",San Andreas,"$467,151,160"
19,"$110,000,000",3/20/2015,"$130,179,072",The Divergent Series: Insurgent,"$295,279,072"
20,"$108,000,000",10/2/2015,"$228,433,663",The Martian,"$663,851,905"
21,"$100,000,000",12/25/2015,"$28,782,481",Point Break,"$128,170,295"
22,"$100,000,000",12/11/2015,"$25,020,758",In the Heart of the Sea,"$90,420,758"
23,"$99,000,000",11/6/2015,"$130,178,411",The Peanuts Movie,"$250,474,038"
24,"$95,000,000",3/13/2015,"$201,151,353",Cinderella,"$534,551,353"
25,"$95,000,000",2/6/2015,"$17,725,785",Seventh Son,"$111,125,785"
