,budget,date,domesticgross,name,worldwidegross
26,"$94,000,000",2/13/2015,"$128,261,724",Kingsman: The Secret Service,"$404,561,724"
27,"$90,000,000",12/18/2015,"$85,886,987",Alvin and the Chipmunks: The Road Chip,"$249,520,430"
28,"$90,000,000",7/24/2015,"$78,765,986",Pixels,"$244,144,701"
29,"$80,000,000",9/25/2015,"$169,700,110",Hotel Transylvania 2,"$470,751,398"
30,"$80,000,000",10/23/2015,"$27,367,660",The Last Witch Hunter,"$131,234,406"
31,"$75,000,000",8/14/2015,"$45,445,109",The Man From U.N.C.L.E.,"$105,445,109"
32,"$74,000,000",7/10/2015,"$336,045,770",Minions,"$1,167,245,366"
33,"$74,000,000",2/6/2015,"$162,994,032",The SpongeBob Movie: Sponge Out of Water,"$311,594,032"
34,"$70,000,000",1/16/2015,"$8,005,980",Blackhat,"$19,665,004"
35,"$68,000,000",6/26/2015,"$81,476,385",Ted 2,"$217,214,143"
36,"$65,000,000",6/5/2015,"$110,825,712",Spy!,"$233,125,712"
37,"$65,000,000",2/27/2015,"$53,862,963",Focus,"$159,062,963"
38,"$65,000,000",9/18/2015,"$43,482,270",Everest,"$221,835,496"
39,"$65,000,000",9/4/2015,"$74,070",Tian jiang xiong shi,"$122,519,874"
40,"$62,000,000",12/25/2015,"$54,117,416",The Hateful Eight,"$145,443,360"
41,"$61,000,000",9/18/2015,"$81,697,192",Maze Runner: The Scorch Trials,"$310,697,192"
42,"$60,000,000",12/25/2015,"$56,451,232",Joy,"$101,134,059"
43,"$60,000,000",1/23/2015,"$7,696,134",Mortdecai,"$30,396,134"
44,"$60,000,000",12/11/2015,$0,The Ridiculous 6,$0
45,"$58,000,000",10/16/2015,"$80,069,458",Goosebumps,"$158,905,324"
46,"$55,000,000",1/16/2015,"$76,223,578",Paddington,"$259,541,430"
47,"$55,000,000",10/16/2015,"$31,090,320",Crimson Peak,"$75,466,595"
48,"$53,000,000",9/18/2015,"$62,575,678",Black Mass,"$98,837,872"
49,"$50,000,000",12/25/2015,"$150,357,137",Daddyâs Home,"$242,757,137"
50,"$50,000,000",3/13/2015,"$26,461,644",Run All Night,"$66,961,644"
51,"$50,000,000",4/17/2015,"$1,224,330",Child 44,"$3,434,330"
52,"$50,000,000",10/2/2015,"$46,425",Shanghai,"$15,505,922"
53,"$49,000,000",3/6/2015,"$31,569,268",Chappie,"$105,002,056"
54,"$48,000,000",1/9/2015,"$89,256,424",Taken 3,"$327,656,424"
55,"$42,000,000",12/31/2015,$0,Pourquoi j'ai pas mangÃ© mon pÃ¨re,"$182,156"
56,"$40,000,000",2/13/2015,"$166,167,230",Fifty Shades of Grey,"$570,998,101"
57,"$40,000,000",3/27/2015,"$90,411,453",Get Hard,"$106,511,453"
58,"$40,000,000",9/25/2015,"$75,764,672",The Intern,"$197,232,734"
59,"$40,000,000",10/16/2015,"$72,313,754",Bridge of Spies,"$162,610,473"
60,"$40,000,000",3/20/2015,"$10,664,749",The Gunman,"$13,853,999"
61,"$40,000,000",7/10/2015,"$6,738,000",Baahubali: The Beginning,"$26,736,665"
62,"$40,000,000",11/25/2015,"$5,775,076",Victor Frankenstein,"$33,175,076"
63,"$38,000,000",4/17/2015,"$71,091,594",Paul Blart: Mall Cop 2,"$107,650,646"
64,"$37,000,000",11/25/2015,"$109,767,581",Creed,"$173,567,581"
65,"$37,000,000",5/29/2015,"$21,052,030",Aloha,"$24,935,799"
66,"$35,000,000",7/17/2015,"$110,212,700",Trainwreck,"$141,123,897"
67,"$35,000,000",5/22/2015,"$47,425,125",Poltergeist,"$95,825,125"
68,"$35,000,000",5/8/2015,"$34,580,201",Hot Pursuit,"$45,680,201"
69,"$35,000,000",12/25/2015,"$34,531,832",Concussion,"$50,363,790"
70,"$35,000,000",8/21/2015,"$22,467,450",Hitman: Agent 47,"$81,967,450"
71,"$35,000,000",3/6/2015,"$10,219,501",Unfinished Business,"$12,819,501"
72,"$35,000,000",9/30/2015,"$10,161,183",The Walk,"$61,197,045"
73,"$35,000,000",3/13/2015,$0,The Lovers,"$11,106"
74,"$34,000,000",4/10/2015,"$37,446,117",The Longest Ride,"$63,802,928"
75,"$33,000,000",7/31/2015,"$176,847",The Young and Prodigious T.S. Spivet,"$357,687"
76,"$33,000,000",10/30/2015,"$70,958",Freaks of Nature,"$70,958"
77,"$31,000,000",7/29/2015,"$58,884,188",Vacation,"$101,287,415"
78,"$30,000,000",12/18/2015,"$87,044,645",Sisters,"$106,030,660"
79,"$30,000,000",7/24/2015,"$52,421,953",Southpaw,"$94,207,861"
80,"$30,000,000",9/18/2015,"$46,889,293",Sicario,"$84,448,946"
81,"$30,000,000",4/24/2015,"$42,629,776",The Age of Adaline,"$69,057,415"
82,"$30,000,000",6/3/2015,"$32,363,404",Entourage,"$46,352,925"
83,"$30,000,000",10/9/2015,"$17,766,658",Steve Jobs,"$35,579,007"
84,"$30,000,000",1/30/2015,"$3,200",Wild Card,"$929,157"
85,"$30,000,000",6/5/2015,$918,United Passions,"$168,832"
86,"$30,000,000",12/1/2015,$0,Grace of Monaco,"$25,199,891"
87,"$29,000,000",5/15/2015,"$184,296,230",Pitch Perfect 2,"$287,641,616"
88,"$28,000,000",8/14/2015,"$161,197,785",Straight Outta Compton,"$202,182,981"
89,"$28,000,000",12/11/2015,"$70,259,870",The Big Short,"$133,162,752"
90,"$28,000,000",8/21/2015,"$14,439,985",American Ultra,"$30,295,076"
91,"$28,000,000",10/30/2015,"$7,002,261",Our Brand is Crisis,"$8,592,432"
92,"$26,000,000",7/10/2015,"$12,279,691",Self/Less,"$33,713,827"
93,"$26,000,000",6/30/2015,$0,Viy,"$34,246,770"
94,"$26,000,000",3/17/2015,$0,Accidental Love,"$135,436"
95,"$26,000,000",4/24/2015,$0,The Face of an Angel,$0
96,"$25,000,000",11/20/2015,"$43,035,725",The Night Before,"$52,427,346"
97,"$25,000,000",8/5/2015,"$19,375,982",Shaun the Sheep,"$101,937,062"
98,"$25,000,000",11/13/2015,"$12,227,722",The 33,"$28,400,715"
99,"$25,000,000",11/20/2015,"$1,872,994",Legend,"$42,642,077"
100,"$25,000,000",4/24/2015,"$129,115",Yi ge ren de wu lin,"$129,115"
101,"$25,000,000",3/10/2015,$0,Red Sky,"$91,116"
102,"$23,000,000",1/16/2015,"$64,460,211",The Wedding Ringer,"$80,171,596"
103,"$22,500,000",4/24/2015,"$4,200,117",The Water Diviner,"$30,864,649"
104,"$22,000,000",9/4/2015,"$16,029,670",The Transporter Refueled,"$69,698,495"
105,"$20,000,000",1/9/2015,"$52,076,908",Selma,"$66,776,908"
106,"$20,000,000",11/6/2015,"$45,055,776",Spotlight,"$92,207,359"
107,"$20,000,000",6/26/2015,"$42,656,255",Max,"$43,658,157"
108,"$20,000,000",11/20/2015,"$20,180,155",Secret in Their Eyes,"$30,808,558"
109,"$20,000,000",10/30/2015,"$13,651,946",Burnt,"$32,632,668"
110,"$20,000,000",4/24/2015,"$6,485,961",Little Boy,"$17,684,355"
111,"$20,000,000",11/13/2015,"$2,246,000",My All-American,"$2,246,000"
112,"$20,000,000",11/13/2015,"$538,460",By the Sea,"$3,727,746"
113,"$20,000,000",10/30/2015,"$55,039",Regression,"$14,883,495"
114,"$20,000,000",5/29/2015,$0,Survivor,"$774,905"
115,"$18,000,000",9/11/2015,"$57,027,435",The Perfect Guy,"$60,278,166"
116,"$18,000,000",8/7/2015,"$26,839,498",Ricki and the Flash,"$41,166,033"
117,"$18,000,000",11/13/2015,"$26,302,731",Love the Coopers,"$42,167,286"
118,"$17,000,000",2/20/2015,"$44,480,275","McFarland, USA","$45,707,924"
119,"$17,000,000",6/26/2015,"$195,792",Escobar: Paradise Lost,"$1,973,945"
120,"$15,000,000",12/4/2015,"$42,725,475",Krampus,"$61,788,393"
121,"$15,000,000",10/30/2015,"$3,703,046",Scouts Guide to the Zombie Apocalypse,"$15,554,855"
122,"$15,000,000",10/16/2015,"$632,542",Nie yin niang,"$6,832,542"
123,"$15,000,000",5/5/2015,$0,A Few Best Men,"$17,224,539"
124,"$15,000,000",12/31/2015,$0,Chiamatemi Francesco - Il papa della gente,"$3,454,036"
125,"$15,000,000",9/1/2015,$0,Broken Horses,"$3,471"
126,"$14,500,000",7/1/2015,"$66,013,057",Magic Mike XXL,"$123,709,460"
127,"$14,500,000",6/5/2015,$0,Freedom,"$812,783"
128,"$14,000,000",2/20/2015,"$12,314,651",Hot Tub Time Machine 2,"$12,452,601"
129,"$14,000,000",10/23/2015,"$4,702,420",Suffragette,"$34,044,909"
130,"$13,000,000",4/10/2015,"$25,440,971",Ex Machina,"$38,976,797"
131,"$13,000,000",10/16/2015,"$14,677,674",Room,"$36,262,783"
132,"$13,000,000",10/16/2015,"$14,394,097",Woodlawn,"$14,403,703"
133,"$13,000,000",7/24/2015,"$1,784,763",The Vatican Tapes,"$14,999,638"
134,"$13,000,000",8/14/2015,"$656,688",Brothers,"$17,856,688"
135,"$12,000,000",7/24/2015,"$32,000,304",Paper Towns,"$85,512,300"
136,"$12,000,000",1/30/2015,"$22,348,241",Project Almanac,"$32,909,437"
137,"$12,000,000",10/9/2015,"$17,484",Trash,"$6,553,186"
138,"$12,000,000",11/11/2015,"$14,616",10 Days in a Madhouse,"$14,616"
139,"$12,000,000",10/30/2015,$0,Dancin' It's On,$0
140,"$12,000,000",12/31/2015,$0,San cheng ji,$0
141,"$11,800,000",11/20/2015,"$12,711,491",Carol,"$43,143,595"
142,"$11,000,000",11/4/2015,"$38,322,743",Brooklyn,"$62,076,141"
143,"$11,000,000",4/1/2015,"$33,307,793",Woman in Gold,"$56,991,059"
144,"$11,000,000",5/8/2015,$0,La famille BÃ©lier,"$82,438,670"
145,"$10,000,000",6/5/2015,"$52,218,558",Insidious Chapter 3,"$120,678,444"
146,"$10,000,000",3/6/2015,"$33,078,266",The Second Best Exotic Marigold Hotel,"$90,384,306"
147,"$10,000,000",8/21/2015,"$27,740,955",Sinister 2,"$54,104,225"
148,"$10,000,000",10/23/2015,"$18,297,124",Paranormal Activity: The Ghost Dimension,"$78,096,553"
149,"$10,000,000",3/27/2015,"$7,582,065",While We're Young,"$13,423,176"
150,"$10,000,000",3/20/2015,"$5,637,066",Danny Collins,"$7,501,132"
151,"$10,000,000",7/10/2015,"$17,472",Strangerland,"$161,097"
152,"$10,000,000",3/13/2015,"$11,894",Hross i oss,"$11,894"
153,"$10,000,000",3/10/2015,$0,Jungle Shuffle,"$314,073"
154,"$10,000,000",5/19/2015,$0,Into the Grizzly Maze,$0
155,"$10,000,000",7/21/2015,$0,American Heist,$0
156,"$9,000,000",1/30/2015,"$21,571,189",Black or White,"$21,571,189"
157,"$9,000,000",5/8/2015,"$1,242",Skin Trade,"$1,242"
158,"$9,000,000",1/20/2015,$0,Veronika Decides to Die,"$2,243"
159,"$8,900,000",11/13/2015,"$50,136",Heist,"$3,324,184"
160,"$8,500,000",2/20/2015,"$34,030,343",The DUFF,"$43,528,634"
161,"$8,000,000",6/12/2015,"$6,758,416",Me and Earl and the Dying Girl,"$9,266,180"
162,"$8,000,000",12/30/2015,"$3,759,286",Anomalisa,"$5,538,273"
163,"$8,000,000",5/22/2015,"$53,086",Aloft,"$53,086"
164,"$8,000,000",2/24/2015,$0,Green Street Hooligans: Underground,$0
165,"$8,000,000",12/31/2015,$0,Henry Joseph Church,$0
166,"$7,700,000",4/14/2015,"$5,336",Loin des hommes,"$1,080,428"
167,"$7,500,000",1/9/2015,$0,Black November,"$32,572"
168,"$7,500,000",2/24/2015,$0,Outside Bet,"$13,524"
169,"$7,500,000",5/15/2015,$0,Pound of Flesh,$0
170,"$7,000,000",6/19/2015,"$17,506,470",Dope,"$18,190,831"
171,"$7,000,000",10/2/2015,"$546,201",Freeheld,"$1,732,228"
172,"$7,000,000",1/30/2015,"$31,443",Trudno byt bogom,"$35,919"
173,"$7,000,000",8/18/2015,$0,Z Storm,"$2,053,330"
174,"$7,000,000",12/31/2015,$0,ÐÐÐ ÐÐ,"$1,391,410"
175,"$7,000,000",11/20/2015,$0,Criminal Activities,"$386,744"
176,"$7,000,000",9/1/2015,$0,Alpha & Omega: The Legend of the Saw Tooth Cave,$0
177,"$6,000,000",1/23/2015,"$32,251",Song One,"$437,089"
178,"$5,500,000",1/23/2015,"$24,956",R100,"$24,956"
179,"$5,500,000",5/5/2015,$0,Miss Julie,"$863,895"
180,"$5,000,000",9/11/2015,"$65,206,105",The Visit,"$98,689,296"
181,"$5,000,000",8/7/2015,"$43,787,265",The Gift,"$58,978,653"
182,"$5,000,000",8/26/2015,"$27,288,872",No Escape,"$42,844,516"
183,"$5,000,000",2/27/2015,"$25,801,570",The Lazarus Effect,"$35,341,814"
184,"$5,000,000",1/16/2015,"$18,656,400",Still Alice,"$41,699,612"
185,"$5,000,000",9/11/2015,"$4,816,142",90 Minutes in Heaven,"$4,816,142"
186,"$5,000,000",10/23/2015,"$2,184,640",Jem and the Holograms,"$2,368,937"
187,"$5,000,000",8/7/2015,"$134,552",Cop Car,"$143,658"
188,"$5,000,000",5/15/2015,"$7,556",Area 51,"$7,556"
189,"$5,000,000",1/27/2015,$0,Born of War,$0
190,"$5,000,000",1/9/2015,$0,Let's Kill Ward's Wife,$0
191,"$5,000,000",1/13/2015,$0,Capricorn One,$0
192,"$5,000,000",12/31/2015,$0,Aztec Warrior,$0
193,"$5,000,000",9/25/2015,$0,Navy SEAL vs. Zombies,$0
194,"$5,000,000",10/27/2015,$0,Running Forever,$0
195,"$4,900,000",1/23/2015,"$3,498,695",Mommy,"$17,554,183"
196,"$4,700,000",3/10/2015,$0,Treading Water,$0
197,"$4,500,000",5/8/2015,"$187,112",Maggie,"$597,989"
198,"$4,500,000",8/28/2015,$0,Zipper,$0
199,"$4,400,000",9/29/2015,$0,R.L. Stine's Monsterville: The Cabinet of Souls,$0
200,"$4,000,000",1/23/2015,"$36,006,065",The Boy Next Door,"$53,401,938"
201,"$4,000,000",4/10/2015,"$155,271",Desert Dancer,"$324,218"
202,"$4,000,000",1/30/2015,"$154,356","Guten Tag, Ramon","$4,854,356"
203,"$4,000,000",6/19/2015,"$132,270",Manglehorn,"$797,439"
204,"$4,000,000",2/27/2015,"$20,620",Praia do Futuro,"$760,678"
205,"$4,000,000",12/31/2015,$0,The Veil,$0
206,"$4,000,000",9/8/2015,$0,Chain of Command,$0
207,"$3,500,000",6/5/2015,$0,Dawn Patrol,$0
208,"$3,440,000",9/1/2015,$0,Lords of London,$0
209,"$3,400,000",3/3/2015,$0,To Write Love On Her Arms,$0
210,"$3,300,000",1/20/2015,$0,The Opposite Sex,"$40,262"
211,"$3,000,000",8/28/2015,"$67,790,117",War Room,"$73,975,239"
212,"$3,000,000",9/4/2015,"$37,151",Before We Go,"$483,938"
213,"$3,000,000",12/31/2015,$0,AWOL-72,$0
214,"$3,000,000",2/6/2015,$0,Enter the Dangerous Mind,$0
215,"$3,000,000",3/17/2015,$0,Something Wicked,$0
216,"$3,000,000",8/14/2015,$0,Amnesiac,$0
217,"$3,000,000",12/31/2015,$0,Unnatural,$0
218,"$3,000,000",12/11/2015,$0,Close Range,$0
219,"$2,700,000",12/31/2015,$0,Sardaar Ji,"$8,200,000"
220,"$2,500,000",7/3/2015,$0,Stung,$0
221,"$2,500,000",10/13/2015,$0,8 Days,$0
222,"$2,300,000",3/20/2015,"$12,985,600",Do You Believe?,"$14,305,450"
223,"$2,300,000",4/15/2015,$0,The Toxic Avenger Part II,$0
224,"$2,100,000",10/6/2015,$0,The Timber,$0
225,"$2,000,000",3/13/2015,"$14,674,077",It Follows,"$23,250,755"
226,"$2,000,000",8/28/2015,"$3,591,417",We Are Your Friends,"$10,166,209"
227,"$2,000,000",9/18/2015,"$2,583,301",Captive,"$2,791,973"
228,"$2,000,000",8/7/2015,"$1,477,002",The Diary of a Teenage Girl,"$2,279,959"
229,"$2,000,000",2/13/2015,"$147,299",The Last Five Years,"$147,299"
230,"$2,000,000",4/7/2015,"$45,431",Lost River,"$73,806"
231,"$2,000,000",10/23/2015,$0,Bone Tomahawk,"$481,525"
232,"$2,000,000",12/31/2015,$0,"To Be Frank, Sinatra at 100",$926
233,"$2,000,000",3/17/2015,$0,The Lady from Shanghai,$0
234,"$2,000,000",3/20/2015,$0,The Walking Deceased,$0
235,"$2,000,000",8/21/2015,$0,The Curse of Downers Grove,$0
236,"$2,000,000",12/31/2015,$0,Wind Walkers,$0
237,"$2,000,000",12/1/2015,$0,Shark Lake,$0
238,"$1,950,000",4/21/2015,$0,The Marine 4,$0
239,"$1,900,000",4/24/2015,"$478,595",Brotherly Love,"$478,595"
240,"$1,900,000",12/31/2015,$0,Vaalu,"$12,444"
241,"$1,800,000",10/20/2015,$0,Beginners Guide to Sex,$0
242,"$1,700,000",12/18/2015,"$1,777,043",Saul fia,"$9,696,537"
243,"$1,500,000",3/6/2015,"$113,169",Road Hard,"$113,169"
244,"$1,500,000",9/28/2015,"$2,105","Me, You and Five Bucks","$2,105"
245,"$1,500,000",2/13/2015,$0,Girlhouse,$0
246,"$1,500,000",5/26/2015,$0,Mutant World,$0
247,"$1,500,000",11/20/2015,$0,#Horror,$0
248,"$1,500,000",9/8/2015,$0,Checkmate,$0
249,"$1,400,000",12/31/2015,$0,One Shot,$0
250,"$1,300,000",1/30/2015,"$288,751",Above and Beyond,"$288,751"
251,"$1,300,000",6/26/2015,$0,The Algerian,$0
252,"$1,250,000",1/13/2015,$0,Da Sweet Blood of Jesus,$0
253,"$1,200,000",8/28/2015,"$376,976",Que Horas Ela Volta?,"$3,056,292"
254,"$1,200,000",9/18/2015,"$4,254",La navaja de Don Juan,"$4,254"
255,"$1,200,000",2/3/2015,$0,Bleeding Hearts,$0
256,"$1,100,000",4/7/2015,$0,Silent Running,$0
257,"$1,000,000",4/17/2015,"$32,789,645",Unfriended,"$62,869,004"
258,"$1,000,000",9/25/2015,"$7,192,291",The Green Inferno,"$12,931,569"
259,"$1,000,000",7/31/2015,"$101,531",Beyond the Brick: A LEGO Brickumentary,"$101,531"
260,"$1,000,000",2/13/2015,"$15,156",Hits,"$15,156"
261,"$1,000,000",4/10/2015,"$6,870",The Sisterhood of Night,"$6,870"
262,"$1,000,000",5/15/2015,"$1,036",Childless,"$1,036"
263,"$1,000,000",12/31/2015,$0,Karachi se Lahore,"$17,721"
264,"$1,000,000",12/11/2015,$0,American Hero,$26
265,"$1,000,000",2/10/2015,$0,Fear Clinic,$0
266,"$1,000,000",3/10/2015,$0,The Pet,$0
267,"$1,000,000",10/27/2015,$0,The Horror Network,$0
268,"$1,000,000",12/22/2015,$0,Por amor en el caserio,$0
269,"$950,000",3/3/2015,$0,Ask Me Anything,$0
270,"$900,000",5/5/2015,$0,Le bonheur d'Elza,$0
271,"$850,000",8/28/2015,"$3,256",Windsor Drive,"$3,256"
272,"$800,000",1/9/2015,$0,Vessel,$0
273,"$700,000",3/13/2015,$0,Walter,$0
274,"$600,000",5/22/2015,"$3,301",Drunk Wedding,"$3,301"
275,"$600,000",2/24/2015,$0,Irreplaceable,$0
276,"$560,000",12/31/2015,$0,Julija in alfa Romeo,"$8,462"
277,"$500,000",12/11/2015,"$129,479",O Menino e o Mundo,"$270,394"
278,"$500,000",7/24/2015,$0,The Outrageous Sophie Tucker,$0
279,"$500,000",3/10/2015,$0,Subconscious,$0
280,"$500,000",4/14/2015,$0,Roadside,$0
281,"$500,000",2/10/2015,$0,Love in the Time of Monsters,$0
282,"$500,000",6/23/2015,$0,Crossroads,$0
283,"$500,000",8/11/2015,$0,Alleluia! The Devil's Carnival,$0
284,"$500,000",12/1/2015,$0,Brooklyn Bizarre,$0
285,"$500,000",12/31/2015,$0,Rodeo Girl,$0
286,"$500,000",11/10/2015,$0,The Little Ponderosa Zoo,$0
287,"$450,000",11/20/2015,"$41,260",Siakh lokhamim: ha'slilim ha'gnouzim,"$42,503"
288,"$400,000",3/31/2015,$0,Viskningar och rop,"$9,400"
289,"$350,000",10/20/2015,$0,Rotor DR1,$0
290,"$300,000",10/23/2015,"$1,711",The Looking Glass,"$1,711"
291,"$300,000",3/10/2015,$0,Teeth and Blood,$0
292,"$300,000",12/31/2015,$0,Walking to Paris,$0
293,"$300,000",12/8/2015,$0,Amidst the Devil's Wings,$0
294,"$250,000",3/24/2015,$0,Along the Roadside,"$3,234"
295,"$250,000",2/3/2015,$0,UnDivided,$0
296,"$250,000",2/24/2015,$0,Give Me Shelter,$0
297,"$250,000",12/31/2015,$0,Shooting the Warwicks,$0
298,"$250,000",8/18/2015,$0,The Love Letter,$0
299,"$250,000",10/9/2015,$0,Western Religion,$0
300,"$250,000",12/31/2015,$0,4/11,$0
301,"$200,000",6/19/2015,"$1,109,808",The Overnight,"$1,165,996"
302,"$200,000",9/29/2015,$0,Theresa Is a Mother,$0
303,"$200,000",11/10/2015,$0,Perfect Cowboy,$0
304,"$180,000",2/27/2015,"$17,503",Butterfly Girl,"$17,503"
305,"$175,000",9/4/2015,$0,Heroes of Dirt,$0
306,"$168,000",12/31/2015,$0,Lumea e a mea,"$29,827"
307,"$150,000",4/17/2015,"$7,193",Antarctic Edge: 70Âº South,"$7,193"
308,"$150,000",8/21/2015,"$5,858",Top Spin,"$5,858"
309,"$150,000",12/31/2015,$0,Escaping the Holocost,$0
310,"$125,000",8/11/2015,$0,The Brain That Sings,$0
311,"$125,000",12/31/2015,$0,Romantic Schemer,$0
312,"$100,000",7/10/2015,"$22,764,410",The Gallows,"$41,753,881"
313,"$100,000",3/17/2015,$0,Closure,$0
314,"$100,000",12/31/2015,$0,Lunchtime Heroes,$0
315,"$100,000",3/25/2015,$0,Open Secret,$0
316,"$100,000",11/10/2015,$0,The Night Visitor,$0
317,"$100,000",7/7/2015,$0,Tiger Orange,$0
318,"$75,000",7/17/2015,"$8,799",Dawn of the Crescent Moon,"$8,799"
319,"$75,000",9/29/2015,$0,Queen Crab,$0
320,"$60,000",12/22/2015,$0,The Brain That Wouldn't Die,$0
321,"$50,000",7/31/2015,"$8,374",Counting,"$8,374"
322,"$50,000",8/4/2015,$0,Bending Steel,$0
323,"$50,000",9/1/2015,$0,"Run, Hide, Die",$0
