,budget,date,domesticgross,name,worldwidegross
0,"$250,000,000",12/17/2014,"$255,119,788",The Hobbit: The Battle of the Five Armies,"$955,119,788"
1,"$210,000,000",6/27/2014,"$245,439,076",Transformers: Age of Extinction,"$1,104,039,076"
2,"$200,000,000",5/23/2014,"$233,921,534",X-Men: Days of Future Past,"$747,862,775"
3,"$200,000,000",5/2/2014,"$202,853,933",The Amazing Spider-Man 2,"$708,996,336"
4,"$180,000,000",5/30/2014,"$241,407,328",Maleficent,"$758,536,735"
5,"$178,000,000",6/6/2014,"$100,206,256",Edge of Tomorrow,"$370,541,256"
6,"$170,000,000",8/1/2014,"$333,172,112",Guardians of the Galaxy,"$771,051,335"
7,"$170,000,000",4/4/2014,"$259,746,958",Captain America: The Winter Soldier,"$714,401,889"
8,"$170,000,000",7/11/2014,"$208,545,589",Dawn of the Planet of the Apes,"$710,644,566"
9,"$165,000,000",11/7/2014,"$222,527,828",Big Hero 6,"$652,127,828"
10,"$165,000,000",11/5/2014,"$188,017,894",Interstellar,"$667,752,422"
11,"$160,000,000",5/16/2014,"$200,676,069",Godzilla,"$529,076,069"
12,"$145,000,000",6/13/2014,"$177,002,924",How to Train Your Dragon 2,"$614,586,270"
13,"$145,000,000",3/7/2014,"$111,506,430",Mr. Peabody & Sherman,"$269,806,430"
14,"$140,000,000",12/12/2014,"$65,014,513",Exodus: Gods and Kings,"$268,314,513"
15,"$132,000,000",11/26/2014,"$83,350,911",Penguins of Madagascar,"$367,650,911"
16,"$130,000,000",4/11/2014,"$131,538,435",Rio 2,"$492,846,291"
17,"$130,000,000",3/28/2014,"$101,200,044",Noah,"$352,831,065"
18,"$127,000,000",12/19/2014,"$113,746,621",Night at the Museum: Secret of the Tomb,"$356,546,621"
19,"$125,000,000",11/21/2014,"$337,135,885",The Hunger Games: Mockingjay - Part 1,"$766,652,288"
20,"$125,000,000",8/8/2014,"$191,204,754",Teenage Mutant Ninja Turtles,"$485,004,754"
21,"$120,000,000",2/12/2014,"$58,607,007",RoboCop,"$242,981,799"
22,"$110,000,000",3/7/2014,"$106,580,051",300: Rise of an Empire,"$330,780,051"
23,"$100,000,000",7/25/2014,"$72,688,614",Hercules,"$243,388,614"
24,"$100,000,000",8/15/2014,"$39,322,544",The Expendables 3,"$209,461,378"
25,"$100,000,000",4/18/2014,"$23,022,309",Transcendence,"$103,039,258"
26,"$85,000,000",3/21/2014,"$150,947,895",Divergent,"$276,014,965"
27,"$80,000,000",10/17/2014,"$85,817,906",Fury,"$210,315,681"
28,"$80,000,000",2/21/2014,"$23,169,033",Pompeii,"$108,469,033"
29,"$70,000,000",2/7/2014,"$78,031,620",The Monuments Men,"$158,702,748"
30,"$70,000,000",10/10/2014,"$55,991,880",Dracula Untold,"$220,241,723"
31,"$70,000,000",1/10/2014,"$18,848,538",The Legend of Hercules,"$58,953,319"
32,"$70,000,000",5/9/2014,"$8,462,347",Legends of Oz: Dorothyâs Return,"$20,107,933"
33,"$66,000,000",3/14/2014,"$43,568,507",Need for Speed,"$194,169,619"
34,"$65,000,000",12/25/2014,"$115,637,895",Unbroken,"$163,527,824"
35,"$65,000,000",12/19/2014,"$85,911,262",Annie,"$139,840,525"
36,"$65,000,000",1/24/2014,"$19,075,290","I, Frankenstein","$74,575,290"
37,"$65,000,000",8/22/2014,"$13,757,804",Sin City: A Dame to Kill For,"$39,499,349"
38,"$61,000,000",10/3/2014,"$167,767,189",Gone Girl,"$368,567,189"
39,"$60,000,000",2/7/2014,"$257,784,718",The Lego Movie,"$457,729,388"
40,"$60,000,000",9/26/2014,"$50,837,305",The Boxtrolls,"$111,946,251"
41,"$60,000,000",1/17/2014,"$50,577,412",Jack Ryan: Shadow Recruit,"$131,377,412"
42,"$60,000,000",2/14/2014,"$12,600,231",Winter's Tale,"$22,468,620"
43,"$58,000,000",12/25/2014,"$350,126,372",American Sniper,"$547,326,372"
44,"$56,200,000",12/25/2014,"$128,002,372",Into the Woods,"$203,502,372"
45,"$55,000,000",9/26/2014,"$101,530,738",The Equalizer,"$192,903,624"
46,"$55,000,000",3/21/2014,"$51,178,893",Muppets Most Wanted,"$79,312,301"
47,"$50,000,000",6/13/2014,"$191,719,337",22 Jump Street,"$331,333,876"
48,"$50,000,000",2/28/2014,"$91,742,160",Non-Stop,"$222,383,055"
49,"$50,000,000",7/18/2014,"$59,157,732",Planes: Fire and Rescue,"$156,399,644"
50,"$50,000,000",10/17/2014,"$50,151,543",The Book of Life,"$97,651,543"
51,"$50,000,000",8/8/2014,"$47,602,194",Into the Storm,"$150,429,371"
52,"$50,000,000",10/10/2014,"$47,119,388",The Judge,"$76,119,388"
53,"$45,000,000",5/23/2014,"$46,290,741",Blended,"$127,990,741"
54,"$44,000,000",2/6/2014,"$6,105,175",The Interview,"$12,342,632"
