,budget,date,domesticgross,name,worldwidegross
55,"$40,000,000",7/25/2014,"$126,573,960",Lucy,"$457,507,776"
56,"$40,000,000",11/14/2014,"$86,208,010",Dumb and Dumber To,"$156,553,592"
57,"$40,000,000",4/25/2014,"$83,911,193",The Other Woman,"$195,111,193"
58,"$40,000,000",11/26/2014,"$54,445,357",Horrible Bosses 2,"$105,945,357"
59,"$40,000,000",6/20/2014,"$47,047,013",Jersey Boys,"$65,282,732"
60,"$40,000,000",5/30/2014,"$42,720,965",A Million Ways to Die in The West,"$86,778,557"
61,"$40,000,000",7/18/2014,"$38,543,473",Sex Tape,"$126,069,509"
62,"$40,000,000",6/27/2014,"$4,563,029",Snowpiercer,"$88,069,880"
63,"$40,000,000",12/31/2014,$0,Dragon Nest Warriors' Dawn,"$196,090"
64,"$36,000,000",9/12/2014,"$42,024,533",Dolphin Tale 2,"$57,824,533"
65,"$35,000,000",3/28/2014,"$10,508,518",Sabotage,"$18,376,443"
66,"$34,000,000",9/19/2014,"$102,427,862",The Maze Runner,"$348,319,861"
67,"$34,000,000",9/5/2014,"$4,091",Thunder and the House of Magic,"$11,092,749"
68,"$31,000,000",3/7/2014,"$59,076,019",The Grand Budapest Hotel,"$164,350,409"
69,"$30,000,000",1/17/2014,"$64,251,538",The Nut Job,"$122,529,966"
70,"$30,000,000",10/24/2014,"$43,037,835",John Wick,"$76,235,001"
71,"$30,000,000",7/2/2014,"$30,577,122",Deliver Us from Evil,"$87,956,618"
72,"$30,000,000",8/1/2014,"$30,569,935",Get on Up,"$33,339,868"
73,"$28,000,000",10/10/2014,"$66,954,149","Alexander and the Terrible, Horrible, No Good, Very Bad Day","$101,379,287"
74,"$28,000,000",2/21/2014,"$30,697,999",3 Days to Kill,"$38,959,900"
75,"$28,000,000",9/19/2014,"$26,017,685",A Walk Among the Tombstones,"$62,108,587"
76,"$28,000,000",4/25/2014,"$20,396,829",Brick Mansions,"$73,421,224"
77,"$26,000,000",10/17/2014,"$26,766,213",The Best of Me,"$41,059,418"
78,"$26,000,000",3/21/2014,"$42,472",Blood Ties,"$2,923,959"
79,"$25,000,000",1/17/2014,"$134,202,565",Ride Along,"$153,733,800"
80,"$25,000,000",8/15/2014,"$45,090,374",The Giver,"$55,090,374"
81,"$25,000,000",5/16/2014,"$36,447,959",Million Dollar Arm,"$39,217,912"
82,"$25,000,000",12/10/2014,"$33,680,992",The Gambler,"$38,718,031"
83,"$25,000,000",4/11/2014,"$28,842,237",Draft Day,"$29,847,480"
84,"$25,000,000",1/10/2014,$0,The Adventurer: The Curse of the Midas Box,$0
85,"$24,000,000",6/20/2014,"$65,028,687",Think Like a Man Too,"$70,027,933"
86,"$23,000,000",1/10/2014,"$25,568,251",Her,"$48,422,461"
87,"$22,000,000",2/28/2014,"$59,700,064",Son of God,"$70,949,793"
88,"$22,000,000",8/8/2014,"$54,235,441",The Hundred-Foot Journey,"$94,270,488"
89,"$22,000,000",10/31/2014,"$3,242,457",Before I Go to Sleep,"$19,563,579"
90,"$20,000,000",7/2/2014,"$84,525,432",Tammy,"$96,407,655"
91,"$20,000,000",9/19/2014,"$34,296,320",This is Where I Leave You,"$41,296,320"
92,"$20,000,000",2/14/2014,"$23,438,250",Endless Love,"$34,718,173"
93,"$20,000,000",12/12/2014,"$8,110,975",Inherent Vice,"$14,772,346"
94,"$20,000,000",12/31/2014,"$5,749,134",A Most Violent Year,"$6,071,433"
95,"$20,000,000",8/29/2014,$0,Dwegons and Leprechauns,$0
96,"$18,000,000",5/9/2014,"$150,086,800",Neighbors,"$270,944,428"
97,"$18,000,000",10/17/2014,"$42,340,598",Birdman or (The Unexpected Virtue of Ignorance),"$103,215,094"
98,"$18,000,000",7/25/2014,"$15,160,801",And So It Goes,"$17,762,041"
99,"$18,000,000",1/31/2014,"$13,371,528",Labor Day,"$14,189,810"
100,"$18,000,000",4/11/2014,"$4,438,438",The Railway Man,"$23,910,210"
101,"$18,000,000",8/22/2014,$0,The Prince,$0
102,"$18,000,000",11/14/2014,$0,Wolves,$0
103,"$17,000,000",8/13/2014,"$82,390,774",Letâs Be Cops,"$136,890,774"
104,"$16,000,000",10/3/2014,"$14,019,924",Left Behind,"$20,769,209"
105,"$16,000,000",11/14/2014,"$2,429,989",The Homesman,"$8,217,571"
106,"$16,000,000",5/16/2014,"$2,013,456",The Immigrant,"$7,585,011"
107,"$16,000,000",10/1/2014,"$705,908","Men, Women and Children","$1,705,908"
108,"$15,000,000",11/28/2014,"$91,125,143",The Imitation Game,"$227,773,686"
109,"$15,000,000",12/3/2014,"$37,880,356",Wild,"$52,460,543"
110,"$15,000,000",11/7/2014,"$35,893,537",The Theory of Everything,"$123,327,692"
111,"$15,000,000",8/22/2014,"$30,127,963",When the Game Stands Tall,"$30,138,912"
112,"$15,000,000",8/27/2014,"$25,018,119",The November Man,"$34,820,335"
113,"$15,000,000",7/25/2014,"$17,237,855",A Most Wanted Man,"$36,068,890"
114,"$15,000,000",10/10/2014,$0,Automata,"$6,775,458"
115,"$14,000,000",12/19/2014,"$3,958,546",Mr. Turner,"$25,187,026"
116,"$13,300,000",4/4/2014,"$2,614,251",Under the Skin,"$7,229,933"
117,"$13,200,000",9/12/2014,"$52,543,632",No Good Deed,"$54,323,210"
118,"$13,000,000",2/14/2014,"$48,637,684",About Last Night,"$50,445,860"
119,"$13,000,000",10/10/2014,"$44,137,712",St. Vincent,"$54,837,234"
120,"$13,000,000",7/2/2014,"$38,934,842",Earth to Echo,"$42,174,545"
121,"$12,600,000",9/12/2014,"$10,724,389",The Drop,"$19,054,534"
122,"$12,000,000",6/6/2014,"$124,872,350",The Fault in Our Stars,"$307,166,834"
123,"$12,000,000",4/16/2014,"$91,386,097",Heaven is for Real,"$100,919,111"
124,"$12,000,000",12/12/2014,"$25,317,379",Top Five,"$25,514,848"
125,"$12,000,000",10/3/2014,$0,Drive Hard,$0
126,"$11,000,000",8/22/2014,"$50,474,843",If I Stay,"$78,356,170"
127,"$10,000,000",12/25/2014,"$14,482,031",Big Eyes,"$27,317,872"
128,"$10,000,000",3/14/2014,"$7,779,614",Bad Words,"$7,843,145"
129,"$10,000,000",11/14/2014,"$3,128,941",Rosewater,"$3,168,858"
130,"$10,000,000",3/21/2014,"$1,069,454",50 to 1,"$1,069,454"
131,"$10,000,000",11/7/2014,"$67,657",Elsa & Fred,"$109,144"
132,"$10,000,000",12/26/2014,$388,Barbecue,"$173,613"
133,"$10,000,000",9/26/2014,$0,Plastic,"$552,641"
134,"$10,000,000",2/7/2014,$0,Nurse 3D,$0
135,"$9,000,000",7/18/2014,"$71,562,550",The Purge: Anarchy,"$111,534,881"
136,"$9,000,000",6/17/2014,$0,Beneath Hill 60,"$3,440,939"
137,"$8,500,000",10/31/2014,"$32,381,218",Nightcrawler,"$50,334,418"
138,"$8,500,000",6/13/2014,"$1,109,199",The Rover,"$3,180,252"
139,"$8,000,000",1/31/2014,"$26,068,955",That Awkward Moment,"$53,068,955"
140,"$8,000,000",6/27/2014,"$16,170,632",Begin Again,"$68,838,736"
141,"$8,000,000",8/12/2014,$0,Swelter,"$44,197"
142,"$7,000,000",1/17/2014,"$15,821,461",Devil's Due,"$36,146,087"
143,"$7,000,000",11/14/2014,"$14,618,727",Beyond the Lights,"$14,618,727"
144,"$7,000,000",4/2/2014,"$523,511",Dom Hemingway,"$1,857,458"
145,"$7,000,000",1/28/2014,$0,Snezhnaya koroleva,"$15,206,330"
146,"$6,500,000",10/3/2014,"$84,273,813",Annabelle,"$256,862,920"
147,"$6,000,000",7/18/2014,"$3,591,299",Wish I Was Here,"$6,591,365"
148,"$6,000,000",3/14/2014,"$3,322,127",Veronica Mars,"$3,485,383"
149,"$5,000,000",10/24/2014,"$50,856,010",Ouija,"$103,683,342"
150,"$5,000,000",1/3/2014,"$32,462,372",Paranormal Activity: The Marked Ones,"$87,251,115"
151,"$5,000,000",4/11/2014,"$27,695,246",Oculus,"$44,115,496"
152,"$5,000,000",8/29/2014,"$21,222,315","As Above, So Below","$41,824,066"
153,"$5,000,000",10/10/2014,"$17,390,770",Addicted,"$17,499,242"
154,"$5,000,000",5/9/2014,"$10,429,707",Momsâ Night Out,"$10,537,341"
155,"$5,000,000",10/10/2014,"$2,450,846",Kill the Messenger,"$6,656,705"
156,"$5,000,000",9/12/2014,"$851,690",Atlas Shrugged: Who Is John Galt?,"$851,690"
157,"$5,000,000",9/26/2014,"$340,911",Jimi: All is By My Side,"$927,074"
158,"$5,000,000",10/17/2014,"$56,001",Rudderless,"$567,219"
159,"$5,000,000",8/18/2014,$0,Henry & Me,$0
160,"$5,000,000",12/5/2014,$0,Dying of the Light,$0
161,"$4,500,000",9/4/2014,"$11,774",Falcon Rising,"$11,774"
162,"$4,500,000",11/7/2014,$0,Fugly,$0
163,"$4,357,373",6/6/2014,$0,Anna,"$1,200,000"
164,"$4,000,000",7/11/2014,"$25,379,975",Boyhood,"$57,273,049"
165,"$4,000,000",4/18/2014,"$17,329,487",A Haunted House 2,"$21,206,861"
166,"$4,000,000",6/13/2014,"$600,896",The Signal,"$2,665,322"
167,"$4,000,000",3/7/2014,"$385,069",The Face of Love,"$1,158,877"
168,"$4,000,000",4/11/2014,"$373,375",Joe,"$373,375"
169,"$4,000,000",7/11/2014,$0,The Perfect Wave,$0
170,"$3,500,000",3/11/2014,$0,In the Name of the King III,$0
171,"$3,500,000",3/4/2014,$0,Wicked Blood,$0
172,"$3,300,000",10/10/2014,"$13,092,006",Whiplash,"$33,474,334"
173,"$3,000,000",9/19/2014,"$1,821,983",Tusk,"$1,857,688"
174,"$3,000,000",8/15/2014,"$78,948",Fort McCoy,"$78,948"
175,"$3,000,000",6/27/2014,$0,They Came Together,"$82,780"
176,"$3,000,000",7/8/2014,$0,Point Blank,$0
177,"$3,000,000",10/27/2014,$0,Iguana,$0
178,"$2,600,000",5/2/2014,"$3,827,060",Ida,"$15,298,355"
179,"$2,400,000",11/14/2014,$0,Always Woodstock,$0
180,"$2,300,000",9/5/2014,"$59,696",Frontera,"$59,696"
181,"$2,000,000",10/10/2014,"$6,047,363",Meet the Mormons,"$6,049,171"
182,"$2,000,000",11/28/2014,"$950,792",The Babadook,"$7,482,387"
183,"$2,000,000",9/19/2014,"$72,277",Pump,"$72,277"
184,"$2,000,000",12/31/2014,$0,Lucky Dog,$0
185,"$2,000,000",9/9/2014,$0,A Funny Thing Happened on the Way to the Forum,$0
186,"$1,800,000",3/11/2014,$0,Against the Wild,$0
187,"$1,700,000",2/28/2014,"$4,231,500",The Lunchbox,"$12,231,500"
188,"$1,600,000",9/26/2014,"$15,600",Two Night Stand,"$868,081"
189,"$1,500,000",10/17/2014,$0,Housebound,"$236,863"
190,"$1,500,000",4/17/2014,$0,Closer to the Moon,"$5,396"
191,"$1,500,000",11/11/2014,$0,Once Upon a Time in Queens,$0
192,"$1,400,000",10/3/2014,"$260,441",La chambre bleue,"$1,945,420"
193,"$1,400,000",12/31/2014,$0,Kurmanjan datka,$0
194,"$1,400,000",12/31/2014,$0,House at the End of the Drive,$0
195,"$1,300,000",6/13/2014,"$11,278",Los insolitos peces gato,"$16,653"
196,"$1,200,000",9/9/2014,$0,Cotton Comes to Harlem,$0
197,"$1,150,000",3/21/2014,"$60,755,732",Godâs Not Dead,"$63,777,092"
198,"$1,100,000",11/21/2014,"$2,636",The Sleepwalker,"$2,636"
199,"$1,000,000",9/12/2014,"$5,284,309",The Skeleton Twins,"$5,797,192"
200,"$1,000,000",6/6/2014,"$3,122,616",Obvious Child,"$3,324,070"
201,"$1,000,000",5/9/2014,"$767,732",Palo Alto,"$1,156,309"
202,"$1,000,000",10/24/2014,"$549,185",23 Blast,"$549,185"
203,"$1,000,000",7/18/2014,"$336,472",I Origins,"$852,399"
204,"$1,000,000",11/28/2014,"$288,757",Antarctica: A Year on Ice,"$288,757"
205,"$1,000,000",10/17/2014,"$9,837",Camp X-Ray,"$9,837"
206,"$1,000,000",1/7/2014,$0,Hidden Away,$0
207,"$1,000,000",12/31/2014,$0,Doc Holliday's Revenge,$0
208,"$1,000,000",6/24/2014,$0,A Fine Step,$0
209,"$1,000,000",12/31/2014,$0,Bang Bang Baby,$0
210,"$950,000",1/10/2014,$0,Banshee Chapter,"$78,122"
211,"$950,000",8/12/2014,$0,Jesse,$0
212,"$913,000",11/21/2014,$0,Food Chains,$0
213,"$900,000",12/31/2014,$0,40 Weeks,$0
214,"$800,000",9/19/2014,"$35,688",Not Cool,"$35,688"
215,"$750,000",8/29/2014,"$59,656",Il conformista,"$59,656"
216,"$750,000",12/31/2014,$0,Destiny,$450
217,"$650,000",12/31/2014,$0,The Hadza: Last of the First,$0
218,"$600,000",5/2/2014,"$42,557",Water & Power,"$42,557"
219,"$600,000",8/8/2014,$0,The Maid's Room,$0
220,"$600,000",12/31/2014,$0,Light from the Darkroom,$0
221,"$550,000",9/12/2014,"$9,111",Faith Connections,"$9,111"
222,"$500,000",9/10/2014,"$1,822",Born to Fly: Elizabeth Streb vs. Gravity,"$1,822"
223,"$500,000",12/31/2014,$0,America Is Still The Place,$0
224,"$500,000",12/31/2014,$0,Diamond Rufff,$0
225,"$500,000",12/31/2014,$0,Fight to the Finish,$0
226,"$500,000",12/31/2014,$0,The Sound and the Shadow,$0
227,"$450,000",7/11/2014,"$13,486",As It Is in Heaven,"$13,486"
228,"$450,000",7/1/2014,$0,Mutual Friends,$0
229,"$450,000",12/31/2014,$0,Rise Of the Entrepreneur - The Search For A Better Way,$0
230,"$420,000",4/25/2014,"$258,384",Blue Ruin,"$435,168"
231,"$400,000",12/31/2014,$0,Pancakes,$0
232,"$300,000",3/28/2014,"$3,496",Locker 13,"$3,496"
233,"$300,000",10/31/2014,$0,All You Need Is Love,$0
234,"$250,000",6/6/2014,"$18,823",Test,"$18,823"
235,"$250,000",8/15/2014,"$12,848",Night Lights,"$12,848"
236,"$250,000",4/11/2014,$0,Jesus People,$0
237,"$250,000",12/31/2014,$0,Horse Camp,$0
238,"$200,000",3/14/2014,"$3,648",The Word,"$3,648"
239,"$200,000",9/12/2014,$0,Archaeology of a Woman,$0
240,"$200,000",8/26/2014,$0,Sanctuary; Quite a Conundrum,$0
241,"$200,000",12/31/2014,$0,H.,$0
242,"$125,000",7/18/2014,$0,An American in Hollywood,$0
243,"$100,000",3/21/2014,"$59,424",Cheap Thrills,"$59,424"
244,"$100,000",6/19/2014,"$20,056",The Past is a Grotesque Animal,"$20,056"
245,"$100,000",12/31/2014,$0,"Dude, Where's My Dog",$0
246,"$70,000",7/25/2014,"$30,312",Happy Christmas,"$30,312"
247,"$50,000",12/31/2014,$0,The Image Revolution,$0
248,"$35,000",12/31/2014,$0,Happy 40th,$0
